ID,age,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season_no,total_season,block_id
386,33.0,67,7.4,2.5,1.4,12.2,0.013,0.073,0.123,0.547,0.07,1,3,216
386,34.0,58,4.8,1.6,0.9,1.9,0.018,0.064,0.111,0.517,0.065,2,3,216
386,35.0,49,5.1,1.9,0.7,6.7,0.0289999999999999,0.0559999999999999,0.104,0.536,0.047,3,3,216
47,25.0,56,10.4,2.9,2.1,3.4,0.015,0.077,0.15,0.519,0.091,1,3,26
47,26.0,39,9.9,2.0,2.0,-4.2,0.019,0.054,0.1639999999999999,0.511,0.102,2,3,26
47,27.0,61,11.1,2.0,1.8,-5.9,0.02,0.048,0.16,0.5710000000000001,0.094,3,3,26
327,35.0,67,25.3,7.8,10.2,8.5,0.0279999999999999,0.191,0.308,0.5770000000000001,0.477,1,3,184
327,36.0,45,25.0,7.7,7.8,9.2,0.02,0.2019999999999999,0.31,0.602,0.3939999999999999,2,3,184
327,37.0,56,30.3,8.2,6.2,-2.5,0.031,0.185,0.317,0.619,0.297,3,3,184
53,26.0,54,17.6,3.8,6.6,4.8,0.009,0.088,0.218,0.5529999999999999,0.281,1,3,32
53,27.0,52,19.6,4.2,6.3,3.3,0.016,0.1009999999999999,0.237,0.534,0.264,2,3,32
53,28.0,65,20.3,4.4,6.7,3.7,0.016,0.1,0.233,0.552,0.266,3,3,32
121,21.0,5,1.4,1.0,0.2,-31.7,0.038,0.16,0.102,0.595,0.077,1,3,74
121,22.0,37,2.5,1.8,0.5,-6.8,0.047,0.104,0.115,0.4479999999999999,0.06,2,3,74
121,23.0,21,3.7,2.0,0.7,2.7,0.044,0.118,0.141,0.521,0.0819999999999999,3,3,74
60,21.0,69,3.4,2.6,1.0,6.3,0.053,0.106,0.1119999999999999,0.505,0.085,1,3,36
60,22.0,63,4.7,2.8,1.0,-1.9,0.04,0.113,0.12,0.546,0.079,2,3,36
60,23.0,77,7.8,3.6,1.0,4.5,0.035,0.107,0.123,0.635,0.0579999999999999,3,3,36
453,22.0,10,3.5,1.7,0.4,-8.6,0.044,0.121,0.146,0.512,0.051,1,3,250
